mRefOrder	surface	out2ref	language	lemma3	HebforeignKey	foreignKey	seg-pref+suff	help	PREFIX	conj	rel	temp	adv	prep	interrog	art	MAIN	POS	binyan	verbalroot	passive	Pers	Gen	Num	Tense	Status	function	suffix	Pers	Gen	Num
1	יש	ref.1.11.1.1.1	heb	יש_1	יש_1_EXISTENTIAL	yS_1_EXISTENTIAL	יש										יש	EXISTENTIAL													
2	מביאין	ref.1.11.1.1.2	heb	הביא_1	הביא_1_PARTICIPLE	hbya_1_PARTICIPLE	מביאין	yS_1_EXISTENTIAL									מביאין	PARTICIPLE	hifil	בוא			m	pl		abs					
3	בכורים	ref.1.11.1.1.3	heb	ביכורים_1	ביכורים_1_NOUN	bykwryM_1_NOUN	בכורים	hbya_1_PARTICIPLE									בכורים	NOUN					m	pl		abs					
4	וקורין	ref.1.11.1.1.4	heb	קרא_1	קרא_1_PARTICIPLE	qra_1_PARTICIPLE	ו-קורין	bykwryM_1_NOUN	ו-	ו							קורין	PARTICIPLE	paal	קרא			m	pl		abs					
5	מביאין	ref.1.11.1.1.5	heb	הביא_1	הביא_1_PARTICIPLE	hbya_1_PARTICIPLE	מביאין	qra_1_PARTICIPLE									מביאין	PARTICIPLE	hifil	בוא			m	pl		abs					
6	ולא	ref.1.11.1.1.6	heb	לא_1	לא_1_NEGATION	la_1_NEGATION	ו-לא	hbya_1_PARTICIPLE	ו-	ו							לא	NEGATION													
7	קורין	ref.1.11.1.1.7	heb	קרא_1	קרא_1_PARTICIPLE	qra_1_PARTICIPLE	קורין	la_1_NEGATION									קורין	PARTICIPLE	paal	קרא			m	pl		abs					
8	ויש	ref.1.11.1.1.8	heb	יש_1	יש_1_EXISTENTIAL	yS_1_EXISTENTIAL	ו-יש	qra_1_PARTICIPLE	ו-	ו							יש	EXISTENTIAL													
9	שאינן	ref.1.11.1.1.9	heb	אין_1	אין_1_COPULA	ayN_1_COPULA	ש-אינ+ן	yS_1_EXISTENTIAL	ש-		ש						אינ	COPULA				3	m	pl	PRESENT		pronomial	ן	3	m	pl
10	מביאין	ref.1.11.1.1.10	heb	הביא_1	הביא_1_PARTICIPLE	hbya_1_PARTICIPLE	מביאין	ayN_1_COPULA									מביאין	PARTICIPLE	hifil	בוא			m	pl		abs					
11	אלו	ref.1.11.1.1.11	heb	אלו_1	אלו_1_PRONOUN	alw_1_PRONOUN	אלו	hbya_1_PARTICIPLE									אלו	PRONOUN				3	mf	pl							
12	שאינן	ref.1.11.1.1.12	heb	אין_1	אין_1_COPULA	ayN_1_COPULA	ש-אינ+ן	alw_1_PRONOUN	ש-		ש						אינ	COPULA				3	m	pl	PRESENT		pronomial	ן	3	m	pl
13	מביאין	ref.1.11.1.1.13	heb	הביא_1	הביא_1_PARTICIPLE	hbya_1_PARTICIPLE	מביאין	ayN_1_COPULA									מביאין	PARTICIPLE	hifil	בוא			m	pl		abs					
14	הנוטע	ref.1.11.1.1.14	heb	נטע_1	נטע_1_PARTICIPLE	nTe_1_PARTICIPLE	ה-נוטע	hbya_1_PARTICIPLE	ה-							ה	נוטע	PARTICIPLE	paal	נטע			m	sg		abs					
15	לתוך	ref.1.11.1.1.15	heb	לתוך_1	לתוך_1_PREPOSITION	ltwK_1_PREPOSITION	לתוך	nTe_1_PARTICIPLE									לתוך	PREPOSITION													
16	שלו	ref.1.11.1.1.16	heb	של_1	של_1_SHEL_PREP	Sl_1_SHEL_PREP	של+ו	ltwK_1_PREPOSITION									של	SHEL_PREP									pronomial	ו	3	m	sg
17	והבריך	ref.1.11.1.1.17	heb	הבריך_1	הבריך_1_VERB	hbryK_1_VERB	ו-הבריך	Sl_1_SHEL_PREP	ו-	ו							הבריך	VERB	hifil	ברך		ANY	m	sg	PAST						
18	לתוך	ref.1.11.1.1.18	heb	לתוך_1	לתוך_1_PREPOSITION	ltwK_1_PREPOSITION	לתוך	hbryK_1_VERB									לתוך	PREPOSITION													
19	של	ref.1.11.1.1.19	heb	של_1	של_1_SHEL_PREP	Sl_1_SHEL_PREP	של	ltwK_1_PREPOSITION									של	SHEL_PREP													
20	יחיד	ref.1.11.1.1.20	heb	יחיד_1	יחיד_1_NOUN	yHyd_1_NOUN	יחיד	Sl_1_SHEL_PREP									יחיד	NOUN					m	sg		abs					
21	או	ref.1.11.1.1.21	heb	או_1	או_1_CONJUNCTION	aw_1_CONJUNCTION	או	yHyd_1_NOUN									או	CONJUNCTION													
22	של	ref.1.11.1.1.22	heb	של_1	של_1_SHEL_PREP	Sl_1_SHEL_PREP	של	aw_1_CONJUNCTION									של	SHEL_PREP													
23	רבים	ref.1.11.1.1.23	heb	רבים_1	רבים_1_NOUN	rbyM_1_NOUN	רבים	Sl_1_SHEL_PREP									רבים	NOUN					m	sgpl		abs					
24	וכן	ref.1.11.1.1.24	heb	כן_1	כן_1_ADVERB	kN_1_ADVERB	ו-כן	rbyM_1_NOUN	ו-	ו							כן	ADVERB													
25	המבריך	ref.1.11.1.1.25	heb	הבריך_1	הבריך_1_PARTICIPLE	hbryK_1_PARTICIPLE	ה-מבריך	kN_1_ADVERB	ה-							ה	מבריך	PARTICIPLE	hifil	ברך			m	sg		abs					
26	מתוך	ref.1.11.1.1.26	heb	מתוך_1	מתוך_1_PREPOSITION	mtwK_1_PREPOSITION	מתוך	hbryK_1_PARTICIPLE									מתוך	PREPOSITION													
27	של	ref.1.11.1.1.27	heb	של_1	של_1_SHEL_PREP	Sl_1_SHEL_PREP	של	mtwK_1_PREPOSITION									של	SHEL_PREP													
28	יחיד	ref.1.11.1.1.28	heb	יחיד_1	יחיד_1_NOUN	yHyd_1_NOUN	יחיד	Sl_1_SHEL_PREP									יחיד	NOUN					m	sg		abs					
29	או	ref.1.11.1.1.29	heb	או_1	או_1_CONJUNCTION	aw_1_CONJUNCTION	או	yHyd_1_NOUN									או	CONJUNCTION													
30	מתוך	ref.1.11.1.1.30	heb	מתוך_1	מתוך_1_PREPOSITION	mtwK_1_PREPOSITION	מתוך	aw_1_CONJUNCTION									מתוך	PREPOSITION													
31	של	ref.1.11.1.1.31	heb	של_1	של_1_SHEL_PREP	Sl_1_SHEL_PREP	של	mtwK_1_PREPOSITION									של	SHEL_PREP													
32	רבים	ref.1.11.1.1.32	heb	רבים_1	רבים_1_NOUN	rbyM_1_NOUN	רבים	Sl_1_SHEL_PREP									רבים	NOUN					m	sgpl		abs					
33	לתוך	ref.1.11.1.1.33	heb	לתוך_1	לתוך_1_PREPOSITION	ltwK_1_PREPOSITION	לתוך	rbyM_1_NOUN									לתוך	PREPOSITION													
34	שלו	ref.1.11.1.1.34	heb	של_1	של_1_SHEL_PREP	Sl_1_SHEL_PREP	של+ו	ltwK_1_PREPOSITION									של	SHEL_PREP									pronomial	ו	3	m	sg
35	הנוטע	ref.1.11.1.1.35	heb	נטע_1	נטע_1_PARTICIPLE	nTe_1_PARTICIPLE	ה-נוטע	Sl_1_SHEL_PREP	ה-							ה	נוטע	PARTICIPLE	paal	נטע			m	sg		abs					
36	לתוך	ref.1.11.1.1.36	heb	לתוך_1	לתוך_1_PREPOSITION	ltwK_1_PREPOSITION	לתוך	nTe_1_PARTICIPLE									לתוך	PREPOSITION													
37	שלו	ref.1.11.1.1.37	heb	של_1	של_1_SHEL_PREP	Sl_1_SHEL_PREP	של+ו	ltwK_1_PREPOSITION									של	SHEL_PREP									pronomial	ו	3	m	sg
38	והבריך	ref.1.11.1.1.38	heb	הבריך_1	הבריך_1_VERB	hbryK_1_VERB	ו-הבריך	Sl_1_SHEL_PREP	ו-	ו							הבריך	VERB	hifil	ברך		3	m	sg	PAST						
39	לתוך	ref.1.11.1.1.39	heb	לתוך_1	לתוך_1_PREPOSITION	ltwK_1_PREPOSITION	לתוך	hbryK_1_VERB									לתוך	PREPOSITION													
40	שלו	ref.1.11.1.1.40	heb	של_1	של_1_SHEL_PREP	Sl_1_SHEL_PREP	של+ו	ltwK_1_PREPOSITION									של	SHEL_PREP									pronomial	ו	3	m	sg
41	ודרך	ref.1.11.1.1.41	heb	דרך_1	דרך_1_NOUN	drK_1_NOUN	ו-דרך	Sl_1_SHEL_PREP	ו-	ו							דרך	NOUN					f	sg		cstr					
42	היחיד	ref.1.11.1.1.42	heb	יחיד_1	יחיד_1_NOUN	yHyd_1_NOUN	ה-יחיד	drK_1_NOUN	ה-							ה	יחיד	NOUN					m	sg		abs					
43	ודרך	ref.1.11.1.1.43	heb	דרך_1	דרך_1_NOUN	drK_1_NOUN	ו-דרך	yHyd_1_NOUN	ו-	ו							דרך	NOUN					f	sg		cstr					
44	הרבים	ref.1.11.1.1.44	heb	רבים_1	רבים_1_NOUN	rbyM_1_NOUN	ה-רבים	drK_1_NOUN	ה-							ה	רבים	NOUN					m	sgpl		abs					
45	באמצע	ref.1.11.1.1.45	heb	באמצע_1	באמצע_1_ADVERB	bamce_1_ADVERB	באמצע	rbyM_1_NOUN									באמצע	ADVERB													
46	הרי	ref.1.11.1.1.46	heb	הרי_1	הרי_1_QUANTIFIER	hry_1_QUANTIFIER	הרי	bamce_1_ADVERB									הרי	QUANTIFIER													
47	זה	ref.1.11.1.1.47	heb	זה_1	זה_1_PRONOUN	zh_1_PRONOUN	זה	hry_1_QUANTIFIER									זה	PRONOUN				3	m	sg							
48	אינו	ref.1.11.1.1.48	heb	אין_1	אין_1_COPULA	ayN_1_COPULA	אינ+ו	zh_1_PRONOUN									אינ	COPULA				3	m	sg	PRESENT		pronomial	ו	3	m	sg
